SEDE;COD_FACULTAD;FACULTAD;COD_PLAN;PLAN;COD_NIVEL;NIVEL;AVANCE_CARRERA;COD_ACCESO;ACCESO;COD_SUBACCESO;SUBACCESO;CONVOCATORIA;APERTURA;T_DOCUMENTO;GENERO;EDAD;NUMERO_MATRICULAS;PAPA;PROME_ACADE;PBM_CALCULADO;ESTRATO;COD_DEPTO_RESIDENCIA;DEPTO_RESIDENCIA;COD_MUN_RESIDENCIA;MUNICIPIO_RESIDENCIA;COD_PROVINCIA;PROVINCIA_NACIMIENTO;COD_MINICIPIO;MUNICIPIO_NACIMIENTO;COD_NACIONALIDAD;PAIS-NACIONALIDAD;VICTIMAS_DEL_CONFLICTO;DISCAPACIDAD;CARACTER_COLEGIO;PUNTAJE_ADMISION
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;67.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;21;9;4.3;4.3;13;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;55.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;24;10;3.7;3.7;4;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;75.1;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;TARJETA IDENTIDAD;HOMBRE;22;10;4.6;4.6;28;2;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;75.7;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;21;10;4;4.1;1;1;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;83.2;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;26;10;4.4;4.4;3;1;20;CESAR;570;PUEBLO BELLO;20;CESAR;570;PUEBLO BELLO;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;76.5;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;23;10;3.9;3.9;35;2;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;82.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;20;9;4.3;4.3;8;2;20;CESAR;621;LA PAZ;20;CESAR;621;LA PAZ;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;73.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;23;9;4.2;4.2;4;1;;;;;54;NORTE DE SANTANDER;245;EL CARMEN;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;91.5;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;22;10;4.2;4.2;1;1;20;CESAR;621;LA PAZ;20;CESAR;250;EL PASO;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;72.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;23;10;3.8;3.9;5;2;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;78.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;22;10;4.2;4.2;26;4;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;75.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;22;10;4;4.1;2;1;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;28.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;21;8;3.2;3.2;19;1;;;;;20;CESAR;621;LA PAZ;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;93.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;28;9;4.2;4.2;2;1;;;;;20;CESAR;750;SAN DIEGO;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;53.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;23;9;3.9;3.9;3;1;20;CESAR;621;LA PAZ;20;CESAR;621;LA PAZ;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;65.4;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;21;10;3.8;3.8;3;1;20;CESAR;621;LA PAZ;20;CESAR;175;CHIMICHAGUA;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;85.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;21;10;3.9;4;1;1;20;CESAR;13;AGUSTIN CODAZZI;20;CESAR;13;AGUSTIN CODAZZI;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;68.7;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;TARJETA IDENTIDAD;MUJER;21;9;4.2;4.2;26;3;;;;;11;BOGOTA;1;BOGOTA;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;79.1;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;32;9;4.1;4.1;11;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;45.2;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;27;9;3.7;3.8;5;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;51.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;27;9;3.5;3.5;28;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;58.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;27;9;4.2;4.2;6;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;63.9;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;22;9;3.8;3.8;1;1;;;;;11;BOGOTA;1;BOGOTA;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;62.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;21;9;4.7;4.7;8;2;;;;;17;CALDAS;1;MANIZALES;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;72.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;MUJER;21;9;4.2;4.2;10;3;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;68.1;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;MUJER;28;9;4.2;4.3;2;1;20;CESAR;621;LA PAZ;20;CESAR;621;LA PAZ;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;85.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;32;10;4.5;4.5;1;0;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;53.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2020-1S;2020-1S;NUMERO DE CEDULA;HOMBRE;21;9;3.8;3.9;7;2;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;54.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;28;10;3.4;3.5;4;1;20;CESAR;1;VALLEDUPAR;44;LA GUAJIRA;855;URUMITA;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;62.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;27;10;4.4;4.4;6;0;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;76.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;22;9;4.1;4.1;15;3;20;CESAR;621;LA PAZ;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L006;INGENIERIA MECATRONICA;3;PREGRADO;62.1;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;HOMBRE;24;10;4;4;2;1;20;CESAR;621;LA PAZ;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L004;GESTION CULTURAL Y COMUNICATIVA;3;PREGRADO;75.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2019-2S;2019-2S;NUMERO DE CEDULA;MUJER;22;10;4.3;4.3;21;2;20;CESAR;1;VALLEDUPAR;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Privado;
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;32.2;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;HOMBRE;19;5;3.8;3.8;48;1;;;;;47;MAGDALENA;545;PIJINO DEL CARMEN;170;COLOMBIA;NO;NO;Plantel Privado;595.87
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;26.8;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;TARJETA IDENTIDAD;HOMBRE;18;5;3.5;3.5;22;3;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;496.87
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;20.1;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;MUJER;30;5;3.3;3.3;4;2;44;LA GUAJIRA;874;VILLANUEVA;44;LA GUAJIRA;874;VILLANUEVA;170;COLOMBIA;NO;NO;Plantel Oficial;390.72
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L002;ESTADISTICA;3;PREGRADO;23.9;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;HOMBRE;22;5;3.6;3.7;4;2;20;CESAR;1;VALLEDUPAR;47;MAGDALENA;545;PIJINO DEL CARMEN;170;COLOMBIA;NO;NO;Plantel Oficial;360.82
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;24.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;HOMBRE;20;5;3.5;3.5;1;1;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;484.03
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L005;INGENIERIA BIOLOGICA;3;PREGRADO;20.3;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;HOMBRE;18;5;3.5;3.5;7;2;;;;;20;CESAR;621;LA PAZ;170;COLOMBIA;NO;NO;Plantel Oficial;590.07
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L001;BIOLOGIA;3;PREGRADO;24.6;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;MUJER;18;5;3.7;3.7;2;1;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;435.09
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;34;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;MUJER;21;5;4.2;4.2;1;1;;;;;20;CESAR;1;VALLEDUPAR;170;COLOMBIA;NO;NO;Plantel Oficial;328.65
SEDE DE LA PAZ;1004;ESCUELA DE PREGRADO LA PAZ;L003;GEOGRAFIA;3;PREGRADO;31.9;1;EXAMEN DE ADMISION A LA UNIVERSIDAD;29;PROGRAMA DE ADMISION ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ;2022-1S;2022-1S;NUMERO DE CEDULA;MUJER;20;5;4;4;1;1;20;CESAR;443;MANAURE BALCON DEL CESAR;20;CESAR;443;MANAURE BALCON DEL CESAR;170;COLOMBIA;NO;NO;Plantel Oficial;407.83
